Первоначальный массив: [3, 6, 2, 8, 7, 1, 0, 5, 3]
[3, 6, 2, 8, 7, 1, 0, 3, 5]
[3, 6, 2, 8, 7, 0, 1, 3, 5]
[3, 6, 2, 8, 0, 7, 1, 3, 5]
[3, 6, 2, 0, 8, 7, 1, 3, 5]
[3, 6, 0, 2, 8, 7, 1, 3, 5]
[3, 0, 6, 2, 8, 7, 1, 3, 5]
[0, 3, 6, 2, 8, 7, 1, 3, 5]
[0, 3, 6, 2, 8, 1, 7, 3, 5]
[0, 3, 6, 2, 1, 8, 7, 3, 5]
[0, 3, 6, 1, 2, 8, 7, 3, 5]
[0, 3, 1, 6, 2, 8, 7, 3, 5]
[0, 1, 3, 6, 2, 8, 7, 3, 5]
[0, 1, 3, 6, 2, 8, 3, 7, 5]
[0, 1, 3, 6, 2, 3, 8, 7, 5]
[0, 1, 3, 2, 6, 3, 8, 7, 5]
[0, 1, 2, 3, 6, 3, 8, 7, 5]
[0, 1, 2, 3, 6, 3, 8, 5, 7]
[0, 1, 2, 3, 6, 3, 5, 8, 7]
[0, 1, 2, 3, 3, 6, 5, 8, 7]
[0, 1, 2, 3, 3, 6, 5, 7, 8]
[0, 1, 2, 3, 3, 5, 6, 7, 8]
